Concepto/Cod.Op.	Fecha	Comprobante	Sucursal	Importe	Descripción		Cod.Op.Bco.	CUIT	Denominación	BANCO	ES GASTO MENSUAL	Cod. Op.	FECHA RESUMEN	OBSERVACION	CUENTA
RRSIRCREB	2024-10-01	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45566	SIRCREB	
LEY25413CR	2024-10-01	5643449	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45566	IMP CREDITO	425115/00
RRSIRCREB	2024-10-01	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45566	SIRCREB	
LEY25413CR	2024-10-01	5640400	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45566	IMP CREDITO	425115/00
COMISIONES	2024-10-01	6868	PERCEPCION DE IVA		Cobro Comisiones Bca.Empr		450	17	18	CHACO	SI	673	45566	COMISIONES	425102/21
IVA Alicuota General	2024-10-01	6868	SUC  10		IVA alicuota gral.21 %		S69	17	18	CHACO	SI	S02	45566	IVA	
LEY25413DB	2024-10-01	6868	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45566	IMP DEBITO	425107/00
LEY25413DB	2024-10-01	6868	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45566	IMP DEBITO	425107/00
RRSIRCREB	2024-10-03	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45568	SIRCREB	
LEY25413CR	2024-10-03	5651951	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45568	IMP CREDITO	425115/00
RRSIRCREB	2024-10-04	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45569	SIRCREB	
LEY25413CR	2024-10-04	5655370	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45569	IMP CREDITO	425115/00
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
LEY25413CR	2024-10-08	5661614	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
LEY25413CR	2024-10-08	5664462	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
RRSIRCREB	2024-10-08	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45573	SIRCREB	
LEY25413CR	2024-10-08	5658960	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45573	IMP CREDITO	425115/00
RRSIRCREB	2024-10-09	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45574	SIRCREB	
LEY25413CR	2024-10-09	5668926	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45574	IMP CREDITO	425115/00
RRSIRCREB	2024-10-10	20241	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45575	SIRCREB	
LEY25413CR	2024-10-10	5671757	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45575	IMP CREDITO	425115/00
RRSIRCREB	2024-10-14	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45579	SIRCREB	
LEY25413CR	2024-10-14	5674549	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45579	IMP CREDITO	425115/00
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
LEY25413CR	2024-10-15	5682031	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
RRSIRCREB	2024-10-15	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45580	SIRCREB	
LEY25413CR	2024-10-15	5677439	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
LEY25413CR	2024-10-15	5679746	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45580	IMP CREDITO	425115/00
RRSIRCREB	2024-10-16	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45581	SIRCREB	
LEY25413CR	2024-10-16	5686943	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45581	IMP CREDITO	425115/00
RRSIRCREB	2024-10-17	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45582	SIRCREB	
LEY25413CR	2024-10-17	5689645	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45582	IMP CREDITO	425115/00
RRSIRCREB	2024-10-18	20242	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45583	SIRCREB	
LEY25413CR	2024-10-18	5692580	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45583	IMP CREDITO	425115/00
CH/CAMARA	2024-10-21	5569942	PERCEPCION DE IVA	-143000000	Pago de cheque Por Camara		440	17	18	CHACO	NO	S16		GASTO	
LEY25413DB	2024-10-21	5569942	SUC  10	-858000	Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45586	IMP DEBITO	425107/00
RRSIRCREB	2024-10-21	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45586	SIRCREB	
LEY25413CR	2024-10-21	5695778	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45586	IMP CREDITO	425115/00
RRSIRCREB	2024-10-22	20243	SUC  10	-9363	Sircreb		413	17	18	CHACO	SI	S69	45587	SIRCREB	
RRSIRCREB	2024-10-22	20243	SUC  10	-8221	Sircreb		413	17	18	CHACO	SI	S69	45587	SIRCREB	
LEY25413CR	2024-10-22	5699178	SUC  10	-6242	Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45587	IMP CREDITO	425115/00
LEY25413CR	2024-10-22	5702543	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45587	IMP CREDITO	425115/00
RRSIRCREB	2024-10-23	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45588	SIRCREB	
LEY25413CR	2024-10-23	5708041	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45588	IMP CREDITO	425115/00
RRSIRCREB	2024-10-24	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45589	SIRCREB	
LEY25413CR	2024-10-24	5710781	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45589	IMP CREDITO	425115/00
RRSIRCREB	2024-10-28	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45593	SIRCREB	
LEY25413CR	2024-10-28	5716569	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45593	IMP CREDITO	425115/00
RRSIRCREB	2024-10-29	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45594	SIRCREB	
LEY25413CR	2024-10-29	5722582	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45594	IMP CREDITO	425115/00
RRSIRCREB	2024-10-29	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45594	SIRCREB	
LEY25413CR	2024-10-29	5719707	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45594	IMP CREDITO	425115/00
RRSIRCREB	2024-10-30	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45595	SIRCREB	
LEY25413CR	2024-10-30	5728297	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45595	IMP CREDITO	425115/00
C.MANT.CTA	2024-10-31	46	425102/21		Mantenimiento de Cuenta		46	17	18	CHACO	SI	753	45596	COMISIONES	425102/21
IVA Alicuota General	2024-10-31	46	SUC  10		IVA alicuota gral.21 %		S69	17	18	CHACO	SI	S02	45596	IVA	
RRSIRCREB	2024-10-31	20243	SUC  10		Sircreb		413	17	18	CHACO	SI	S69	45596	SIRCREB	
CB.DGI.IVA	2024-10-31	46	SUC  10		IVA RG 2408/08 3%		LEY25413CR	17	18	CHACO	SI	562	45596	PERCEPCION DE IVA	
LEY25413CR	2024-10-31	5731704	SUC  10		Impuesto al Cr.dito Ley 2		DEPOSITO EFECTIVO	17	18	CHACO	SI	R86	45596	IMP CREDITO	425115/00
LEY25413DB	2024-10-31	46	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45596	IMP DEBITO	425107/00
LEY25413DB	2024-10-31	46	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45596	IMP DEBITO	425107/00
LEY25413DB	2024-10-31	46	SUC  10		Impuesto al D.bito Ley 25		DEP.EFVO	17	18	CHACO	SI	N24	45596	IMP DEBITO	425107/00
IDEP.EF	2024-10-01	4978775	270	1262440	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-01	4978730	270	1623200	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-01	4978718	270	1715600	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
ING.BR.TUC	2024-10-01	4978718	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45566	IIBB TUC - 924	
ING.BR.TUC	2024-10-01	4978730	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45566	IIBB TUC - 924	
ING.BR.TUC	2024-10-01	4978775	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45566	IIBB TUC - 924	
RRSIRCREB	2024-10-01	4978718	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45566	SIRCREB	
RRSIRCREB	2024-10-01	4978730	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45566	SIRCREB	
RRSIRCREB	2024-10-01	4978775	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45566	SIRCREB	
IMP.DTO.BC	2024-10-01	4978718	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45566	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-01	4978730	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45566	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-01	4978775	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45566	IMP CREDITO	425115/00
COM.INTERD	2024-10-01	4978718	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45566	COMISIONES	425102/21
COM.INTERD	2024-10-01	4978730	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45566	COMISIONES	425102/21
COM.INTERD	2024-10-01	4978775	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45566	COMISIONES	425102/21
ING.BR.TUC	2024-10-01	3962671	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45566	IIBB TUC - 924	
RRSIRCREB	2024-10-01	3962671	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45566	SIRCREB	
IVA Alicuota General	2024-10-01	4978718	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45566	IVA	
IVA Alicuota General	2024-10-01	4978730	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45566	IVA	
IVA Alicuota General	2024-10-01	4978775	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45566	IVA	
IMP.DTO.BC	2024-10-01	3962671	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45566	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-01	4978718	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45566	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-01	4978730	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45566	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-01	4978775	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45566	IMP DEBITO	425107/00
IDEP.EF	2024-10-02	4979713	270	312400	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4979715	270	542300	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4980307	270	581900	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4979711	270	598720	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4979712	270	727600	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4979714	270	855300	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-02	4979716	270	1768000	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
TR. DE CTA	2024-10-02	6776648	270	-5000000	Deb p/Transf. Interbankin		750	17	18	BSE	NO	R/REC. IIBB TUCUMAN			
ING.BR.TUC	2024-10-02	4979716	270	-24752	Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
RRSIRCREB	2024-10-02	4979716	270	-15912	Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
ING.BR.TUC	2024-10-02	4979714	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
IMP.DTO.BC	2024-10-02	4979716	270	-10608	Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
ING.BR.TUC	2024-10-02	4979712	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
ING.BR.TUC	2024-10-02	4979711	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
ING.BR.TUC	2024-10-02	4980307	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
RRSIRCREB	2024-10-02	4979714	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
ING.BR.TUC	2024-10-02	4979715	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
RRSIRCREB	2024-10-02	4979712	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
RRSIRCREB	2024-10-02	4979711	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
COM.INTERD	2024-10-02	4979716	270	-5304	Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
RRSIRCREB	2024-10-02	4980307	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
IMP.DTO.BC	2024-10-02	4979714	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
RRSIRCREB	2024-10-02	4979715	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
ING.BR.TUC	2024-10-02	4979713	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45567	IIBB TUC - 924	
IMP.DTO.BC	2024-10-02	4979712	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-02	4979711	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-02	4980307	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-02	4979715	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
RRSIRCREB	2024-10-02	4979713	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45567	SIRCREB	
COM.INTERD	2024-10-02	4979714	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
COM.INTERD	2024-10-02	4979712	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
IMP.DTO.BC	2024-10-02	4979713	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45567	IMP CREDITO	425115/00
COM.INTERD	2024-10-02	4979711	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
COM.INTERD	2024-10-02	4980307	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
COM.INTERD	2024-10-02	4979715	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
COMISIONES	2024-10-02	6776648	270	-1200	Comis. p/ transf IBK		6211	17	18	BSE	SI	673	45567	COMISIONES	425102/21
IVA Alicuota General	2024-10-02	4979716	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
COM.INTERD	2024-10-02	4979713	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45567	COMISIONES	425102/21
IVA Alicuota General	2024-10-02	4979714	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	4979712	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	4979711	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	4980307	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	4979715	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	6776648	270	-252	I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IVA Alicuota General	2024-10-02	4979713	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45567	IVA	
IMP.DTO.BC	2024-10-02	4979716	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4979714	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4979712	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4979711	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4980307	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4979715	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	6776648	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-02	4979713	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45567	IMP DEBITO	425107/00
IDEP.EF	2024-10-03	4981986	270	918120	Deposito Intersucursal		17300	30517424303	SCANIA ARGENTINA	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-03	4981141	270	1168810	Deposito Intersucursal		17300	30517424303	SCANIA ARGENTINA	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
TR. DE CTA	2024-10-03	6932717	270	-5000000	Deb p/Transf. Interbankin		750	30517424303	SCANIA ARGENTINA	BSE	NO	R/REC. IIBB TUCUMAN		CANJE	
ING.BR.TUC	2024-10-03	4981141	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	30517424303	SCANIA ARGENTINA	BSE	SI	Q54	45568	IIBB TUC - 924	
ING.BR.TUC	2024-10-03	4981986	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	30517424303	SCANIA ARGENTINA	BSE	SI	Q54	45568	IIBB TUC - 924	
RRSIRCREB	2024-10-03	4981141	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	30517424303	SCANIA ARGENTINA	BSE	SI	S69	45568	SIRCREB	
RRSIRCREB	2024-10-03	4981986	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	30517424303	SCANIA ARGENTINA	BSE	SI	S69	45568	SIRCREB	
IMP.DTO.BC	2024-10-03	4981141	270		Impuesto a los Creditos		DEP.EFVO	30517424303	SCANIA ARGENTINA	BSE	SI	758	45568	IMP CREDITO	425115/00
IMP.DTO.BC	2024-10-03	4981986	270		Impuesto a los Creditos		DEP.EFVO	30517424303	SCANIA ARGENTINA	BSE	SI	758	45568	IMP CREDITO	425115/00
COM.INTERD	2024-10-03	4981141	270		Comis. p/Deposito Intersu		6017	30517424303	SCANIA ARGENTINA	BSE	SI	783	45568	COMISIONES	425102/21
COM.INTERD	2024-10-03	4981986	270		Comis. p/Deposito Intersu		6017	30517424303	SCANIA ARGENTINA	BSE	SI	783	45568	COMISIONES	425102/21
COMISIONES	2024-10-03	6932717	270	-1200	Comis. p/ transf IBK		6211	30517424303	SCANIA ARGENTINA	BSE	SI	673	45568	COMISIONES	425102/21
IVA Alicuota General	2024-10-03	4981141	270		I.V.A. Autom.tico		6204	30517424303	SCANIA ARGENTINA	BSE	SI	S02	45568	IVA	
IVA Alicuota General	2024-10-03	4981986	270		I.V.A. Autom.tico		6204	30517424303	SCANIA ARGENTINA	BSE	SI	S02	45568	IVA	
IVA Alicuota General	2024-10-03	6932717	270	-252	I.V.A. Autom.tico		6204	30517424303	SCANIA ARGENTINA	BSE	SI	S02	45568	IVA	
IMP.DTO.BC	2024-10-03	4981141	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	30517424303	SCANIA ARGENTINA	BSE	SI	758	45568	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-03	4981986	270	-20	Impuesto a los D.bitos		DEPOSITO EFECTIVO	30517424303	SCANIA ARGENTINA	BSE	SI	758	45568	IMP DEBITO	425107/00
IMP.DTO.BC	2024-10-03	6932717	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	30517424303	SCANIA ARGENTINA	BSE	SI	758	45568	IMP DEBITO	425107/00
IDEP.EF	2024-10-04	4983793	270	862070	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
ING.BR.TUC	2024-10-04	4983793	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45569	IIBB TUC - 924	
RRSIRCREB	2024-10-04	4983793	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45569	SIRCREB	
IMP.DTO.BC	2024-10-04	4983793	270		Impuesto a los Creditos		DEP.EFVO	17	18	BSE	SI	758	45569	IMP CREDITO	425115/00
COM.INTERD	2024-10-04	4983793	270		Comis. p/Deposito Intersu		6017	17	18	BSE	SI	783	45569	COMISIONES	425102/21
IVA Alicuota General	2024-10-04	4983793	270		I.V.A. Autom.tico		6204	17	18	BSE	SI	S02	45569	IVA	
IMP.DTO.BC	2024-10-04	4983793	270		Impuesto a los D.bitos		DEPOSITO EFECTIVO	17	18	BSE	SI	758	45569	IMP DEBITO	425107/00
IDEP.EF	2024-10-07	4984924	270	438400	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-07	4985698	270	686120	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-07	4984923	270	1167120	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-07	4984922	270	1363600	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-07	4985725	270	1428650	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
IDEP.EF	2024-10-07	4985687	270	1667000	Deposito Intersucursal		17300	17	18	BSE	NO	Sircreb		DEPOSITOS DE SUCURSALES	
TR. DE CTA	2024-10-07	7648069	270	-3500000	Deb p/Transf. Interbankin		750	17	18	BSE	NO	R/REC. IIBB TUCUMAN		CANJE	
ING.BR.TUC	2024-10-07	4985687	270	-23338	Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45572	IIBB TUC - 924	
ING.BR.TUC	2024-10-07	4985725	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45572	IIBB TUC - 924	
ING.BR.TUC	2024-10-07	4984922	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45572	IIBB TUC - 924	
ING.BR.TUC	2024-10-07	4984923	270		Ingresos Brutos Tuc		DT.301/03-TUCUMAN	17	18	BSE	SI	Q54	45572	IIBB TUC - 924	
RRSIRCREB	2024-10-07	4985687	270	-15003	Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45572	SIRCREB	
RRSIRCREB	2024-10-07	4985725	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45572	SIRCREB	
RRSIRCREB	2024-10-07	4984922	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45572	SIRCREB	
RRSIRCREB	2024-10-07	4984923	270		Percepci.n Ingresos Bruto		ANTONIO LUQUIN S.A.	17	18	BSE	SI	S69	45572	SIRCREB	
